title,address,bed,bath,toilet,pkn_space,price
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
4 bedroom semi-detached duplex for sale,Ajah,4,4,5,2.0,47000000
5 bedroom semi-detached duplex for sale,Ajah,5,4,6,4.0,80000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,45000000
5 bedroom detached duplex for sale,Lekki,5,5,6,,165000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,40000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
4 bedroom semi-detached duplex for sale,Ajah,4,4,5,2.0,47000000
5 bedroom semi-detached duplex for sale,Ajah,5,4,6,4.0,80000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,45000000
5 bedroom detached duplex for sale,Lekki,5,5,6,,165000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,40000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
4 bedroom semi-detached duplex for sale,Ajah,4,4,5,2.0,47000000
5 bedroom semi-detached duplex for sale,Ajah,5,4,6,4.0,80000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,45000000
5 bedroom detached duplex for sale,Lekki,5,5,6,,165000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,40000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
4 bedroom semi-detached duplex for sale,Ajah,4,4,5,2.0,47000000
5 bedroom semi-detached duplex for sale,Ajah,5,4,6,4.0,80000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,45000000
5 bedroom detached duplex for sale,Lekki,5,5,6,,165000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,40000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
4 bedroom semi-detached duplex for sale,Ajah,4,4,5,2.0,47000000
5 bedroom semi-detached duplex for sale,Ajah,5,4,6,4.0,80000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,45000000
5 bedroom detached duplex for sale,Lekki,5,5,6,,165000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,40000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
6 bedroom detached duplex for sale,Isheri North,6,6,7,,155000000
3 bedroom block of flats for sale,Ikoyi,3,4,5,,230000000
4 bedroom semi-detached duplex for sale,Ajah,4,4,5,3.0,53000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,178000000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,3.0,65000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
6 bedroom detached duplex for sale,Isheri North,6,6,7,,155000000
3 bedroom block of flats for sale,Ikoyi,3,4,5,,230000000
4 bedroom semi-detached duplex for sale,Ajah,4,4,5,3.0,53000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,178000000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,3.0,65000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
6 bedroom detached duplex for sale,Isheri North,6,6,7,,155000000
3 bedroom block of flats for sale,Ikoyi,3,4,5,,230000000
4 bedroom semi-detached duplex for sale,Ajah,4,4,5,3.0,53000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,178000000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,3.0,65000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
6 bedroom detached duplex for sale,Isheri North,6,6,7,,155000000
3 bedroom block of flats for sale,Ikoyi,3,4,5,,230000000
4 bedroom semi-detached duplex for sale,Ajah,4,4,5,3.0,53000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,178000000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,3.0,65000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
6 bedroom detached duplex for sale,Isheri North,6,6,7,,155000000
3 bedroom block of flats for sale,Ikoyi,3,4,5,,230000000
4 bedroom semi-detached duplex for sale,Ajah,4,4,5,3.0,53000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,178000000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,3.0,65000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,5.0,120000000
4 bedroom terraced duplex for sale,Lekki,4,5,6,3.0,52000000
4 bedroom terraced duplex for sale,Lekki,4,5,6,3.0,52000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,6,3.0,75000000
5 bedroom detached duplex for sale,Lekki,5,6,7,6.0,120000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,5.0,120000000
4 bedroom terraced duplex for sale,Lekki,4,5,6,3.0,52000000
4 bedroom terraced duplex for sale,Lekki,4,5,6,3.0,52000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,6,3.0,75000000
5 bedroom detached duplex for sale,Lekki,5,6,7,6.0,120000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,5.0,120000000
4 bedroom terraced duplex for sale,Lekki,4,5,6,3.0,52000000
4 bedroom terraced duplex for sale,Lekki,4,5,6,3.0,52000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,6,3.0,75000000
5 bedroom detached duplex for sale,Lekki,5,6,7,6.0,120000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,5.0,120000000
4 bedroom terraced duplex for sale,Lekki,4,5,6,3.0,52000000
4 bedroom terraced duplex for sale,Lekki,4,5,6,3.0,52000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,6,3.0,75000000
5 bedroom detached duplex for sale,Lekki,5,6,7,6.0,120000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,5.0,120000000
4 bedroom terraced duplex for sale,Lekki,4,5,6,3.0,52000000
4 bedroom terraced duplex for sale,Lekki,4,5,6,3.0,52000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,6,3.0,75000000
5 bedroom detached duplex for sale,Lekki,5,6,7,6.0,120000000
5 bedroom semi-detached duplex for sale,Ajah,5,6,6,6.0,32990000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,3.0,65000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,2.0,100000000
6 bedroom detached duplex for sale,Lekki,6,6,7,6.0,280000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,2.0,47000000
5 bedroom detached duplex for sale,Lekki,5,6,6,,100000000
