title,address,bed,bath,toilet,pkn_space,price
,,,,,,
4 bedroom terraced duplex for sale,"  Ikeja GRA, Ikeja, Lagos",4 Bedrooms,4 Bathrooms,4 Toilets,3 Parking Spaces,"180,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  In A Well Secured Estate, Ajah, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,2 Parking Spaces,"47,000,000"
,,,,,,
5 bedroom semi-detached duplex for sale,"  In A Well Secured Estate, Ajah, Lagos",5 Bedrooms,4 Bathrooms,6 Toilets,4 Parking Spaces,"80,000,000"
,,,,,,
3 bedroom detached duplex for sale,"  Ikola Road, By Command., Alagbado, Ifako-Ijaiye, Lagos",3 Bedrooms, Save,,,"27,500,000"
,,,,,,
3 bedroom terraced duplex for sale,"  2nd Tollgate, Lekki, Lagos",3 Bedrooms,3 Bathrooms,4 Toilets, Save,"45,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets, Save,"165,000,000"
,,,,,,
3 bedroom terraced duplex for sale,"  Chevron Toll Gate, Lekki, Lagos",3 Bedrooms,3 Bathrooms,4 Toilets, Save,"40,000,000"
,,,,,,
4 bedroom terraced duplex for sale,"  Ikeja GRA, Ikeja, Lagos",4 Bedrooms,4 Bathrooms,4 Toilets,3 Parking Spaces,"180,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  In A Well Secured Estate, Ajah, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,2 Parking Spaces,"47,000,000"
,,,,,,
5 bedroom semi-detached duplex for sale,"  In A Well Secured Estate, Ajah, Lagos",5 Bedrooms,4 Bathrooms,6 Toilets,4 Parking Spaces,"80,000,000"
,,,,,,
3 bedroom detached duplex for sale,"  Ikola Road, By Command., Alagbado, Ifako-Ijaiye, Lagos",3 Bedrooms, Save,,,"27,500,000"
,,,,,,
3 bedroom terraced duplex for sale,"  2nd Tollgate, Lekki, Lagos",3 Bedrooms,3 Bathrooms,4 Toilets, Save,"45,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets, Save,"165,000,000"
,,,,,,
3 bedroom terraced duplex for sale,"  Chevron Toll Gate, Lekki, Lagos",3 Bedrooms,3 Bathrooms,4 Toilets, Save,"40,000,000"
,,,,,,
4 bedroom terraced duplex for sale,"  Ikeja GRA, Ikeja, Lagos",4 Bedrooms,4 Bathrooms,4 Toilets,3 Parking Spaces,"180,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  In A Well Secured Estate, Ajah, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,2 Parking Spaces,"47,000,000"
,,,,,,
5 bedroom semi-detached duplex for sale,"  In A Well Secured Estate, Ajah, Lagos",5 Bedrooms,4 Bathrooms,6 Toilets,4 Parking Spaces,"80,000,000"
,,,,,,
3 bedroom detached duplex for sale,"  Ikola Road, By Command., Alagbado, Ifako-Ijaiye, Lagos",3 Bedrooms, Save,,,"27,500,000"
,,,,,,
3 bedroom terraced duplex for sale,"  2nd Tollgate, Lekki, Lagos",3 Bedrooms,3 Bathrooms,4 Toilets, Save,"45,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets, Save,"165,000,000"
,,,,,,
3 bedroom terraced duplex for sale,"  Chevron Toll Gate, Lekki, Lagos",3 Bedrooms,3 Bathrooms,4 Toilets, Save,"40,000,000"
,,,,,,
4 bedroom terraced duplex for sale,"  Ikeja GRA, Ikeja, Lagos",4 Bedrooms,4 Bathrooms,4 Toilets,3 Parking Spaces,"180,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  In A Well Secured Estate, Ajah, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,2 Parking Spaces,"47,000,000"
,,,,,,
5 bedroom semi-detached duplex for sale,"  In A Well Secured Estate, Ajah, Lagos",5 Bedrooms,4 Bathrooms,6 Toilets,4 Parking Spaces,"80,000,000"
,,,,,,
3 bedroom detached duplex for sale,"  Ikola Road, By Command., Alagbado, Ifako-Ijaiye, Lagos",3 Bedrooms, Save,,,"27,500,000"
,,,,,,
3 bedroom terraced duplex for sale,"  2nd Tollgate, Lekki, Lagos",3 Bedrooms,3 Bathrooms,4 Toilets, Save,"45,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets, Save,"165,000,000"
,,,,,,
3 bedroom terraced duplex for sale,"  Chevron Toll Gate, Lekki, Lagos",3 Bedrooms,3 Bathrooms,4 Toilets, Save,"40,000,000"
,,,,,,
4 bedroom terraced duplex for sale,"  Ikeja GRA, Ikeja, Lagos",4 Bedrooms,4 Bathrooms,4 Toilets,3 Parking Spaces,"180,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  In A Well Secured Estate, Ajah, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,2 Parking Spaces,"47,000,000"
,,,,,,
5 bedroom semi-detached duplex for sale,"  In A Well Secured Estate, Ajah, Lagos",5 Bedrooms,4 Bathrooms,6 Toilets,4 Parking Spaces,"80,000,000"
,,,,,,
3 bedroom detached duplex for sale,"  Ikola Road, By Command., Alagbado, Ifako-Ijaiye, Lagos",3 Bedrooms, Save,,,"27,500,000"
,,,,,,
3 bedroom terraced duplex for sale,"  2nd Tollgate, Lekki, Lagos",3 Bedrooms,3 Bathrooms,4 Toilets, Save,"45,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets, Save,"165,000,000"
,,,,,,
3 bedroom terraced duplex for sale,"  Chevron Toll Gate, Lekki, Lagos",3 Bedrooms,3 Bathrooms,4 Toilets, Save,"40,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Banana Island, Ikoyi, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets,5 Parking Spaces,"1,100,000,000"
,,,,,,
4 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",4 Bedrooms, Save,,,"75,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Chevron, Lekki, Lekki Phase 2, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets,4 Parking Spaces,"130,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",4 Bedrooms, Save,,,"200,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Whiteoak Estate Behind Domino Pizza, Ologolo, Lekki, Lagos",4 Bedrooms,5 Bathrooms,5 Toilets,4 Parking Spaces,"85,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Chevron, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets, Save,"130,000,000"
,,,,,,
4 bedroom terraced duplex for sale,"  Ikate, Lekki, Lagos., Ikate, Lekki, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,2 Parking Spaces,"93,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Banana Island, Ikoyi, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets,5 Parking Spaces,"1,100,000,000"
,,,,,,
4 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",4 Bedrooms, Save,,,"75,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Chevron, Lekki, Lekki Phase 2, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets,4 Parking Spaces,"130,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",4 Bedrooms, Save,,,"200,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Whiteoak Estate Behind Domino Pizza, Ologolo, Lekki, Lagos",4 Bedrooms,5 Bathrooms,5 Toilets,4 Parking Spaces,"85,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Chevron, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets, Save,"130,000,000"
,,,,,,
4 bedroom terraced duplex for sale,"  Ikate, Lekki, Lagos., Ikate, Lekki, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,2 Parking Spaces,"93,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Banana Island, Ikoyi, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets,5 Parking Spaces,"1,100,000,000"
,,,,,,
4 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",4 Bedrooms, Save,,,"75,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Chevron, Lekki, Lekki Phase 2, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets,4 Parking Spaces,"130,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",4 Bedrooms, Save,,,"200,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Whiteoak Estate Behind Domino Pizza, Ologolo, Lekki, Lagos",4 Bedrooms,5 Bathrooms,5 Toilets,4 Parking Spaces,"85,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Chevron, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets, Save,"130,000,000"
,,,,,,
4 bedroom terraced duplex for sale,"  Ikate, Lekki, Lagos., Ikate, Lekki, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,2 Parking Spaces,"93,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Banana Island, Ikoyi, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets,5 Parking Spaces,"1,100,000,000"
,,,,,,
4 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",4 Bedrooms, Save,,,"75,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Chevron, Lekki, Lekki Phase 2, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets,4 Parking Spaces,"130,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",4 Bedrooms, Save,,,"200,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Whiteoak Estate Behind Domino Pizza, Ologolo, Lekki, Lagos",4 Bedrooms,5 Bathrooms,5 Toilets,4 Parking Spaces,"85,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Chevron, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets, Save,"130,000,000"
,,,,,,
4 bedroom terraced duplex for sale,"  Ikate, Lekki, Lagos., Ikate, Lekki, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,2 Parking Spaces,"93,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Banana Island, Ikoyi, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets,5 Parking Spaces,"1,100,000,000"
,,,,,,
4 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",4 Bedrooms, Save,,,"75,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Chevron, Lekki, Lekki Phase 2, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets,4 Parking Spaces,"130,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",4 Bedrooms, Save,,,"200,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Whiteoak Estate Behind Domino Pizza, Ologolo, Lekki, Lagos",4 Bedrooms,5 Bathrooms,5 Toilets,4 Parking Spaces,"85,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Chevron, Lekki, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets, Save,"130,000,000"
,,,,,,
4 bedroom terraced duplex for sale,"  Ikate, Lekki, Lagos., Ikate, Lekki, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,2 Parking Spaces,"93,000,000"
,,,,,,
5 bedroom semi-detached duplex for sale,"  Atlantic Layout Estate, Ajiwe, Ajah, Lagos",5 Bedrooms,6 Bathrooms,6 Toilets,6 Parking Spaces,"32,990,000"
,,,,,,
4 bedroom house for sale,"  Lekki Gardens 2, Ajah, Lagos",4 Bedrooms, Save,,,"26,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Lekki, Lagos",5 Bedrooms, Save,,,"110,000,000"
,,,,,,
4 bedroom terraced duplex for sale,"  Chevron Toll, Ikota, Lekki, Lagos",4 Bedrooms,5 Bathrooms,6 Toilets,3 Parking Spaces,"52,000,000"
,,,,,,
4 bedroom terraced duplex for sale,"  Chevron Conversation Road, Lekki, Lagos",4 Bedrooms,5 Bathrooms,6 Toilets,3 Parking Spaces,"52,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Osapa, Lekki, Lagos",4 Bedrooms,5 Bathrooms,6 Toilets,3 Parking Spaces,"75,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Lekki County, Lekki, Lagos",5 Bedrooms,6 Bathrooms,7 Toilets,6 Parking Spaces,"120,000,000"
,,,,,,
5 bedroom semi-detached duplex for sale,"  Atlantic Layout Estate, Ajiwe, Ajah, Lagos",5 Bedrooms,6 Bathrooms,6 Toilets,6 Parking Spaces,"32,990,000"
,,,,,,
4 bedroom house for sale,"  Lekki Gardens 2, Ajah, Lagos",4 Bedrooms, Save,,,"26,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Lekki, Lagos",5 Bedrooms, Save,,,"110,000,000"
,,,,,,
4 bedroom terraced duplex for sale,"  Chevron Toll, Ikota, Lekki, Lagos",4 Bedrooms,5 Bathrooms,6 Toilets,3 Parking Spaces,"52,000,000"
,,,,,,
4 bedroom terraced duplex for sale,"  Chevron Conversation Road, Lekki, Lagos",4 Bedrooms,5 Bathrooms,6 Toilets,3 Parking Spaces,"52,000,000"
,,,,,,
